business_code,cust_number,name_customer,clear_date,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen
U007,020080204,Optimum Tech Partners,2020-04-18,2019.0,191875117.0,2019-04-16,20190808,20200421,20191009.0,USD,RV,1.0,5764.86,2019-05-26,Maintenance,191875117.0,0
U007,020083861,Vertex Solutions Inc.,NaN,2020.0,196657726.0,2019-09-21,20190412,20190313,20190601.0,CAD,RV,1.0,59942.22,2019-07-19,1/10 EOM,196657726.0,1
U002,020014895,InnovaTech Group,2019-06-03,2019.0,197025645.0,2019-10-04,20200513,20200518,20190330.0,USD,RV,1.0,117771.09,2019-10-26,Subscription,197025645.0,1
U005,020038033,Global Ventures,2020-01-20,2020.0,197431877.0,2019-08-02,20190324,20190805,20200206.0,USD,RV,1.0,6584.62,2020-01-17,"2/10, Net 30",197431877.0,0
U005,020032180,Ultimate Solutions,2020-01-05,2019.0,196996834.0,2020-02-11,20191120,20190114,20190805.0,USD,RV,1.0,945741.62,2020-01-22,In Advance,196996834.0,0
U005,020038210,Optimum Tech Partners,NaN,2019.0,191461573.0,2019-04-13,20190213,20191124,20191020.0,CAD,RV,1.0,391285.96,2019-12-09,45 EOM,191461573.0,0
U013,020089663,Synergy Corporations,2020-05-03,2020.0,198286923.0,2019-05-07,20190201,20190531,20191105.0,CAD,RV,1.0,907595.81,2019-04-06,PIB,198286923.0,1
U013,020057655,Stellar Supplies LLC,2020-01-15,2019.0,191789875.0,2019-06-14,20200301,20191002,20190808.0,CAD,RV,1.0,646994.18,2019-07-28,45 Prox,191789875.0,1
U002,020094353,Summit Technologies,2020-03-25,2020.0,192660477.0,2020-03-08,20200327,20190313,20190224.0,CAD,RV,1.0,983588.76,2019-10-01,1/90 EOM,192660477.0,1
U001,020006371,Innovatech Solutions,NaN,2020.0,190030247.0,2020-03-30,20200126,20200414,20190327.0,USD,RV,1.0,542543.98,2019-08-12,Disposable,190030247.0,0
U001,020090743,Vertex Solutions Inc.,2019-04-20,2019.0,190723663.0,2020-01-13,20200326,20200213,20191207.0,USD,RV,1.0,7522.12,2019-06-25,Immediate,190723663.0,0
U001,020057915,Fusion Enterprises,2019-04-06,2020.0,191642893.0,2019-03-03,20191023,20190114,20190828.0,CAD,RV,1.0,538174.44,2019-03-15,CIA,191642893.0,1
U013,020077163,Zenith Industries,2019-05-21,2020.0,194259382.0,2020-02-06,20190113,20190413,20190216.0,CAD,RV,1.0,274045.11,2020-05-16,Prescription,194259382.0,1
U001,020085356,Quantum Enterprises,NaN,2020.0,199787964.0,2019-07-07,20200312,20190330,20200128.0,USD,RV,1.0,4686.29,2019-06-11,60 EOM,199787964.0,1
CA02,020098298,Quantum Dynamics,2019-08-31,2020.0,197602306.0,2019-03-05,20190517,20190406,20190428.0,CAD,RV,1.0,78428.32,2019-10-01,Co-Pay,197602306.0,1
U001,020045064,Prime Logistics,2019-02-16,2020.0,191725753.0,2020-03-21,20191122,20190510,20190410.0,USD,RV,1.0,4576.48,2020-05-01,Licencing,191725753.0,1
U001,020093420,Global Ventures,2019-11-03,2020.0,198354099.0,2019-07-02,20190824,20190113,20200208.0,USD,RV,1.0,3063.63,2019-06-19,1/15 EOM,198354099.0,1
U013,020042376,Nexus Networks,NaN,2019.0,196855905.0,2019-08-16,20191119,20200425,20190610.0,CAD,RV,1.0,310447.44,2019-05-22,Deductible,196855905.0,1
U001,020030554,Ultimate Solutions,2020-04-23,2019.0,190143505.0,2019-12-02,20191130,20190514,20200507.0,CAD,RV,1.0,137777.47,2019-01-16,1/15 EOM,190143505.0,0
CA02,020016007,Cortex Innovations,2019-12-24,2019.0,190575973.0,2019-08-04,20191124,20190924,20191206.0,USD,RV,1.0,17865.56,2019-10-15,60 Prox,190575973.0,0
U001,020044862,OmniTech Solutions,2020-03-06,2020.0,191169505.0,2019-11-23,20190508,20190329,20190922.0,CAD,RV,1.0,79505.79,2019-12-18,1/30 Prox,191169505.0,0
U001,020083499,Enterprise Innovations,NaN,2020.0,195340698.0,2019-08-23,20190620,20191203,20190415.0,USD,RV,1.0,539183.08,2020-03-25,Immediate,195340698.0,1
U005,020024598,Global Nexus,2019-02-09,2020.0,195946454.0,2020-03-20,20190116,20190120,20200309.0,CAD,RV,1.0,335882.43,2019-06-28,Net 7,195946454.0,0
U001,020027802,Advanced Enterprises,2019-07-06,2019.0,197857786.0,2019-03-29,20190925,20190404,20190210.0,USD,RV,1.0,2051.63,2019-04-22,Cash,197857786.0,0
U002,020029338,Vertex Solutions Inc.,2019-12-21,2020.0,196881783.0,2019-10-10,20191127,20190116,20190505.0,CAD,RV,1.0,9773.86,2020-01-11,1/15 EOM,196881783.0,0
U002,020024330,Enterprise Innovations,NaN,2020.0,197353663.0,2019-06-30,20190709,20190426,20200314.0,CAD,RV,1.0,25579.92,2020-03-27,Prescription,197353663.0,1
U005,020027112,Spectrum Technologies,2020-04-13,2020.0,195964820.0,2020-01-21,20191112,20191009,20190809.0,USD,RV,1.0,330383.39,2019-08-05,Semi-Annually,195964820.0,0
U001,020066109,Synergy Corporations,2019-10-16,2020.0,197006407.0,2019-11-13,20190424,20190913,20190820.0,CAD,RV,1.0,5740.51,2019-05-06,Pre-Payment,197006407.0,1
U007,020056717,Infinity Holdings,2020-03-07,2019.0,197147128.0,2019-08-27,20190323,20190313,20200301.0,CAD,RV,1.0,466131.91,2019-05-22,90 Prox,197147128.0,1
U013,020058557,Quantum Enterprises,NaN,2019.0,197837322.0,2019-02-25,20190610,20190302,20200417.0,CAD,RV,1.0,41912.24,2019-03-03,Net 15,197837322.0,1
U013,020085895,NextWave Technologies,2019-02-20,2020.0,198622381.0,2020-02-22,20200312,20200217,20191205.0,CAD,RV,1.0,209854.28,2019-09-29,Due Dates,198622381.0,1
U007,020079764,ProTech Partners,2019-03-30,2019.0,195845618.0,2019-06-22,20190517,20200127,20191023.0,USD,RV,1.0,59610.18,2020-03-05,Subscription,195845618.0,0
CA02,020014287,Innovatech Solutions,2020-03-26,2020.0,195868481.0,2019-12-19,20191003,20190128,20191207.0,USD,RV,1.0,89778.81,2019-12-29,Annually,195868481.0,1
U007,020008480,OmniTech Solutions,NaN,2020.0,190030377.0,2020-03-03,20190131,20200215,20191214.0,USD,RV,1.0,37560.24,2020-02-27,Lease-to-Own,190030377.0,0
U001,020035802,Pinnacle Manufacturing,2019-02-03,2019.0,196390389.0,2019-04-10,20200502,20191119,20190605.0,USD,RV,1.0,6561.98,2019-04-25,Graduated,196390389.0,0
U002,020061187,Synergy Innovations,2019-07-26,2020.0,197406509.0,2019-08-25,20190614,20200415,20190322.0,USD,RV,1.0,8314.93,2019-11-07,Pro-Rata,197406509.0,0
U005,020086641,Prime Logistics,2019-01-23,2019.0,193037152.0,2019-11-04,20191005,20190222,20191208.0,USD,RV,1.0,5763.64,2020-03-29,Royalty,193037152.0,1
U007,020088166,Vanguard Ventures,NaN,2020.0,193106350.0,2019-09-05,20200212,20191031,20190908.0,CAD,RV,1.0,48666.4,2019-07-12,Hybrid,193106350.0,0
U007,020019829,Pioneer Industries,2019-11-07,2020.0,197609733.0,2019-05-18,20190401,20200110,20190126.0,CAD,RV,1.0,70430.82,2020-05-16,1/10 EOM,197609733.0,0
U005,020002969,Horizon Holdings,2019-12-27,2019.0,195723747.0,2020-02-05,20190623,20190810,20190502.0,USD,RV,1.0,3424.53,2019-11-06,N60,195723747.0,1
U007,020033943,MetroTech Solutions,2019-02-19,2019.0,199383234.0,2020-02-12,20190929,20191005,20200406.0,CAD,RV,1.0,68398.56,2019-09-24,COD,199383234.0,1
U002,020083212,Horizon Holdings,NaN,2020.0,196891930.0,2020-04-29,20190722,20190424,20190901.0,CAD,RV,1.0,1974.72,2019-12-22,45 Prox,196891930.0,1
U001,020052158,Prime Logistics,2019-04-02,2020.0,191181479.0,2019-06-04,20191126,20200501,20190502.0,CAD,RV,1.0,1196.55,2019-03-20,Pro-Rata,191181479.0,1
U005,020049851,Synergy Innovations,2020-04-12,2019.0,195134983.0,2019-03-23,20190714,20191216,20190321.0,CAD,RV,1.0,791515.05,2019-10-09,60 Prox,195134983.0,0
U002,020074852,Summit Technologies,2020-01-12,2020.0,199875056.0,2020-04-26,20190714,20191002,20200220.0,CAD,RV,1.0,27158.58,2019-03-07,45 EOM,199875056.0,0
U002,020038156,Advantage Solutions,NaN,2020.0,191571988.0,2019-09-20,20190507,20190727,20190515.0,CAD,RV,1.0,4735.06,2019-04-02,Deductible,191571988.0,1
U002,020073641,Prime Logistics,2019-08-14,2020.0,190658398.0,2020-01-31,20200424,20190812,20190316.0,USD,RV,1.0,56974.6,2020-01-24,Yearly,190658398.0,0
U007,020072010,Vanguard Ventures,2019-02-15,2020.0,195467562.0,2019-08-01,20190716,20190624,20200402.0,USD,RV,1.0,97975.36,2019-08-20,45 Prox,195467562.0,0
U007,020098577,Vertex Solutions Inc.,2019-04-07,2019.0,190922606.0,2019-02-25,20200130,20190125,20191125.0,USD,RV,1.0,1053.21,2019-02-05,EOM,190922606.0,0
U005,020013956,Pinnacle Manufacturing,NaN,2019.0,195994040.0,2019-03-05,20190217,20191127,20200501.0,USD,RV,1.0,777119.65,2019-09-30,Net 15,195994040.0,0
CA02,020030971,Future Commerce Ltd.,2020-04-26,2020.0,191519749.0,2019-11-01,20191115,20190201,20191103.0,USD,RV,1.0,30268.94,2019-05-16,Annually,191519749.0,1
U005,020067259,Stellar Supplies LLC,2020-03-28,2020.0,190684430.0,2020-04-16,20200515,20190921,20190413.0,CAD,RV,1.0,58526.91,2020-03-27,Deductible,190684430.0,1
U001,020082193,Apex Enterprises,2019-07-31,2020.0,190147757.0,2019-08-23,20191214,20190327,20190602.0,CAD,RV,1.0,60753.03,2020-05-08,1/60 EOM,190147757.0,0
U007,020078369,Elite Systems Group,NaN,2020.0,190068498.0,2019-12-28,20190114,20190605,20191121.0,CAD,RV,1.0,272806.74,2019-05-14,1/15 EOM,190068498.0,0
U005,020045465,Spectrum Technologies,2019-03-17,2019.0,199971115.0,2020-03-24,20200210,20200116,20191001.0,CAD,RV,1.0,31351.77,2020-02-04,Prescription,199971115.0,0
U001,020043387,Crest Business Services,2019-06-24,2019.0,199116871.0,2019-09-10,20190502,20200114,20191021.0,USD,RV,1.0,7441.84,2019-09-07,Semi-Annually,199116871.0,1
U013,020034432,Prime Logistics,2020-04-13,2019.0,194186136.0,2019-03-04,20191120,20200509,20200310.0,USD,RV,1.0,260746.07,2019-05-08,Yearly,194186136.0,0
U005,020090078,Pinnacle Manufacturing,NaN,2020.0,191102166.0,2019-01-28,20200315,20200405,20190325.0,CAD,RV,1.0,689975.53,2019-10-20,Lump Sum,191102166.0,1
U007,020082139,Prime Logistics,2019-12-16,2019.0,195635923.0,2020-05-11,20200227,20190301,20200201.0,CAD,RV,1.0,734956.37,2019-12-13,Pre-Payment,195635923.0,1
U002,020097337,Spectrum Technologies,2020-02-06,2019.0,199444132.0,2019-03-04,20190420,20200210,20191229.0,CAD,RV,1.0,7573.17,2019-12-12,PID,199444132.0,1
CA02,020063040,Vanguard Ventures,2019-02-21,2019.0,194199954.0,2020-04-01,20200227,20190123,20190115.0,USD,RV,1.0,618608.3,2019-02-03,"2/10, Net 30",194199954.0,0
U007,020017342,Advanced Enterprises,NaN,2020.0,196399895.0,2019-09-12,20190429,20200421,20190818.0,USD,RV,1.0,226880.29,2020-04-01,CIA,196399895.0,0
U005,020064104,NextWave Technologies,2019-09-03,2020.0,195195896.0,2019-04-21,20190830,20190514,20190615.0,CAD,RV,1.0,71036.68,2019-05-31,Royalty,195195896.0,1
U013,020096343,Infinity Holdings,2019-07-17,2019.0,192720737.0,2019-04-28,20190917,20200329,20190628.0,CAD,RV,1.0,6424.22,2019-02-18,Yearly,192720737.0,0
U001,020019514,NextGen Solutions,2020-02-15,2019.0,194749277.0,2020-05-06,20200203,20191214,20191227.0,CAD,RV,1.0,437844.81,2019-08-12,Yearly,194749277.0,1
CA02,020052786,Skyline Innovations,NaN,2020.0,197207830.0,2019-01-14,20200119,20191226,20190804.0,USD,RV,1.0,24243.1,2020-05-03,60 Prox,197207830.0,0
U001,020039167,Unified Ventures,2020-02-19,2019.0,197599630.0,2019-09-05,20190901,20190625,20191218.0,CAD,RV,1.0,29411.64,2019-06-09,Co-Pay,197599630.0,0
U005,020052666,Horizon Holdings,2019-06-11,2020.0,195110854.0,2020-01-19,20190506,20200403,20191117.0,CAD,RV,1.0,942944.39,2020-02-01,End of Month,195110854.0,1
U002,020034244,Titanium Technologies,2019-02-25,2020.0,194169938.0,2020-01-03,20190825,20191124,20191112.0,CAD,RV,1.0,4785.77,2019-07-18,Weekly,194169938.0,1
U001,020057136,Synergy Innovations,NaN,2020.0,197113951.0,2020-05-10,20190215,20190325,20190315.0,CAD,RV,1.0,9862.63,2019-10-12,Co-Pay,197113951.0,0
U001,020072797,Advantage Solutions,2019-08-17,2019.0,198378690.0,2020-04-02,20200119,20190802,20190329.0,CAD,RV,1.0,66242.71,2019-06-21,Semi-Annually,198378690.0,1
U007,020083955,Echelon Industries,2019-06-01,2020.0,199169835.0,2019-06-27,20191018,20200207,20200414.0,USD,RV,1.0,405399.59,2019-02-09,"2/10, Net 30",199169835.0,1
U013,020059049,Enterprise Innovations,2019-03-21,2020.0,195064980.0,2019-05-09,20191214,20190822,20190115.0,CAD,RV,1.0,851553.31,2020-03-31,30 EOM,195064980.0,0
U013,020019586,NextGen Solutions,NaN,2019.0,193010418.0,2020-04-26,20190121,20191105,20191221.0,USD,RV,1.0,88230.74,2019-07-26,Monthly,193010418.0,1
U013,020079289,NextGen Solutions,2019-05-07,2020.0,194043604.0,2020-04-18,20191212,20190516,20190311.0,CAD,RV,1.0,37400.56,2020-03-09,PIA,194043604.0,1
CA02,020096589,Infinity Holdings,2019-09-11,2019.0,198686938.0,2020-01-19,20191007,20190423,20190915.0,USD,RV,1.0,561231.12,2020-02-05,Pre-Payment,198686938.0,0
CA02,020039477,Summit Technologies,2019-08-28,2020.0,191098975.0,2019-07-14,20200324,20200329,20190615.0,CAD,RV,1.0,353595.26,2019-12-27,End of Month,191098975.0,0
U013,020024016,BlueWave Enterprises,NaN,2020.0,199124774.0,2019-02-25,20200514,20191129,20200403.0,USD,RV,1.0,407896.38,2020-01-12,Licencing,199124774.0,0
U001,020047308,Optimum Tech Partners,2019-07-15,2019.0,193458841.0,2020-01-30,20190612,20190601,20190430.0,CAD,RV,1.0,25288.37,2020-04-22,Fixed,193458841.0,1
U001,020003483,Alliance Enterprises,2019-09-10,2020.0,190269553.0,2019-06-25,20190707,20190917,20200218.0,CAD,RV,1.0,547501.71,2020-01-22,"2/20, Net 60",190269553.0,0
U002,020024353,Advantage Solutions,2020-05-04,2019.0,196871578.0,2019-07-25,20190828,20190715,20190929.0,USD,RV,1.0,651570.82,2019-08-07,PPD,196871578.0,0
U001,020072821,NextWave Technologies,NaN,2020.0,199936243.0,2019-10-12,20190201,20190408,20191109.0,CAD,RV,1.0,113819.93,2020-04-25,"2/10, Net 30",199936243.0,1
U002,020091642,NextGen Solutions,2019-02-25,2019.0,194341601.0,2019-05-27,20190525,20200218,20190501.0,CAD,RV,1.0,627207.2,2019-02-18,PIB,194341601.0,1
U001,020018317,Elite Systems Group,2019-06-13,2019.0,194924876.0,2019-03-26,20190612,20190519,20190530.0,CAD,RV,1.0,1501.26,2020-01-30,1/10 EOM,194924876.0,1
U002,020037618,MetroTech Solutions,2020-04-13,2019.0,194615109.0,2019-08-30,20191016,20190605,20190225.0,USD,RV,1.0,2824.83,2019-03-06,1/90 EOM,194615109.0,0
CA02,020091853,Elite Systems Group,NaN,2019.0,194868821.0,2019-11-08,20200211,20191008,20190830.0,USD,RV,1.0,32000.83,2019-04-22,PIB,194868821.0,1
U007,020080110,Enterprise Innovations,2019-06-04,2020.0,198471200.0,2020-01-15,20191230,20190814,20190902.0,USD,RV,1.0,15966.33,2019-08-11,Cash,198471200.0,1
U002,020038238,Apex Enterprises,2019-08-22,2019.0,190831180.0,2019-09-17,20190829,20190804,20190309.0,USD,RV,1.0,45184.72,2019-08-23,Lease-to-Own,190831180.0,0
U007,020062884,Synergy Corporations,2019-01-26,2019.0,197297865.0,2019-03-19,20191009,20200405,20191112.0,CAD,RV,1.0,28482.26,2019-12-10,Net 15,197297865.0,1
U002,020038783,Apex Enterprises,NaN,2019.0,192834757.0,2020-04-27,20190224,20190209,20190318.0,USD,RV,1.0,27972.48,2019-08-05,Net 15,192834757.0,1
U007,020017547,Fusion Enterprises,2019-01-13,2019.0,197576350.0,2020-01-16,20191120,20190316,20190311.0,USD,RV,1.0,1601.76,2020-03-13,Co-Pay,197576350.0,1
U013,020076523,Unified Ventures,2019-10-06,2020.0,199357069.0,2020-03-28,20190425,20190514,20190117.0,CAD,RV,1.0,59075.92,2019-05-03,1/30 Prox,199357069.0,1
U005,020007672,NextWave Technologies,2020-01-12,2020.0,198589739.0,2019-01-13,20200410,20190203,20200216.0,USD,RV,1.0,4225.86,2019-06-04,1/15 EOM,198589739.0,1
U013,020043052,Crest Business Services,NaN,2019.0,196678475.0,2019-08-05,20190325,20200125,20190927.0,CAD,RV,1.0,77532.22,2019-09-01,Net 45,196678475.0,0
U002,020077367,Synergy Innovations,2019-05-26,2020.0,198670961.0,2020-01-28,20190326,20190205,20191117.0,CAD,RV,1.0,906541.01,2019-08-04,Maintenance,198670961.0,0
U005,020049620,Velocity Solutions,2019-12-06,2020.0,199892765.0,2019-05-19,20191011,20190618,20191228.0,USD,RV,1.0,95900.51,2019-10-19,1/90 EOM,199892765.0,1
U007,020095039,BlueWave Enterprises,2020-04-25,2019.0,198441018.0,2019-09-20,20190405,20190811,20190802.0,CAD,RV,1.0,1785.11,2019-01-26,PPD,198441018.0,1
CA02,020051446,ProTech Partners,NaN,2020.0,196225501.0,2019-03-28,20200105,20200125,20200208.0,CAD,RV,1.0,92545.66,2020-05-09,1/30 Prox,196225501.0,0
U007,020058069,Pinnacle Manufacturing,2019-08-07,2020.0,199802735.0,2019-12-06,20190630,20191210,20190119.0,USD,RV,1.0,976889.52,2020-03-08,Net 45,199802735.0,1
U007,020075224,Synergy Innovations,2019-04-30,2020.0,193309407.0,2019-07-08,20200413,20190807,20200305.0,USD,RV,1.0,20407.49,2019-06-28,Semi-Annually,193309407.0,1
U002,020094143,Acme Industries,2019-04-15,2020.0,198929362.0,2019-12-09,20191002,20190211,20200130.0,CAD,RV,1.0,9871.27,2019-08-30,CIA,198929362.0,1
U001,020054980,Prime Innovations,NaN,2019.0,198590868.0,2019-09-05,20190902,20200321,20200326.0,USD,RV,1.0,237402.89,2019-12-04,Weekly,198590868.0,1
U001,020075457,Stellar Supplies LLC,2019-10-08,2020.0,195778396.0,2019-11-06,20191213,20191103,20190329.0,USD,RV,1.0,8089.49,2019-02-13,Licencing,195778396.0,0
U013,020060753,Synergy Innovations,2020-01-27,2019.0,194371533.0,2019-07-25,20200329,20190208,20190712.0,USD,RV,1.0,773894.01,2019-08-31,Fixed,194371533.0,1
U007,020005530,Synergy Corporations,2019-10-01,2019.0,199506922.0,2019-03-17,20200505,20190823,20190523.0,USD,RV,1.0,9525.8,2019-08-07,90 Prox,199506922.0,1
U007,020038590,Horizon Holdings,NaN,2019.0,190950397.0,2019-04-12,20191210,20191226,20191006.0,CAD,RV,1.0,6549.95,2019-08-26,N60,190950397.0,1
U013,020035095,Global Ventures,2020-03-05,2020.0,191655095.0,2019-08-24,20191129,20190201,20191210.0,CAD,RV,1.0,42879.75,2019-05-08,Semi-Annually,191655095.0,1
U001,020037397,Titanium Technologies,2020-04-29,2020.0,194994607.0,2019-07-15,20191217,20190225,20190331.0,CAD,RV,1.0,7246.31,2019-02-20,PIA,194994607.0,0
U002,020045531,Innovatech Solutions,2019-03-31,2019.0,191809315.0,2019-11-20,20190711,20190509,20190725.0,USD,RV,1.0,796221.92,2019-12-05,1/30 Prox,191809315.0,1
U007,020027512,Horizon Holdings,NaN,2020.0,198764878.0,2019-04-07,20200123,20191122,20191110.0,CAD,RV,1.0,31828.25,2019-11-26,N30,198764878.0,1
U013,020085888,Velocity Solutions,2019-01-26,2020.0,198947737.0,2020-02-05,20191228,20190918,20200123.0,USD,RV,1.0,256232.07,2020-05-02,Daily,198947737.0,0
U007,020015241,Advantage Solutions,2019-03-31,2019.0,193428143.0,2020-01-23,20191205,20190502,20200315.0,USD,RV,1.0,7739.57,2019-12-28,N30,193428143.0,1
CA02,020055319,Horizon Holdings,2019-07-05,2020.0,196704014.0,2020-01-19,20190608,20190416,20190201.0,CAD,RV,1.0,4651.58,2019-06-05,1/90 EOM,196704014.0,1
U002,020096393,Innovatech Solutions,NaN,2019.0,198701491.0,2019-03-28,20190218,20190402,20190323.0,CAD,RV,1.0,741438.21,2019-09-24,Prescription,198701491.0,1
U002,020021974,Apex Enterprises,2019-06-09,2019.0,199806389.0,2019-08-16,20190822,20190810,20190911.0,USD,RV,1.0,529107.9,2019-03-03,Maintenance,199806389.0,1
CA02,020052097,Enterprise Innovations,2019-06-08,2020.0,198560073.0,2019-08-29,20190513,20200128,20190402.0,USD,RV,1.0,9823.67,2019-06-11,N90,198560073.0,0
U001,020079035,Titanium Technologies,2019-10-24,2019.0,198193912.0,2019-09-22,20200211,20190122,20200119.0,USD,RV,1.0,522995.12,2019-05-26,Weekly,198193912.0,1
U007,020008606,Fortune Solutions,NaN,2019.0,193452771.0,2019-09-30,20200426,20200128,20190818.0,USD,RV,1.0,44648.41,2019-05-12,Royalty,193452771.0,1
U005,020067238,Skyline Innovations,2019-12-04,2020.0,197895412.0,2020-01-31,20191123,20200419,20190703.0,CAD,RV,1.0,912885.42,2019-10-10,1/10 Prox,197895412.0,0
U007,020089498,Crest Business Services,2020-02-27,2020.0,198906497.0,2019-07-08,20190621,20191126,20191108.0,USD,RV,1.0,2010.27,2019-02-03,Lease-to-Own,198906497.0,0
CA02,020042579,Vanguard Ventures,2020-05-02,2019.0,199635635.0,2019-01-11,20191104,20190127,20190506.0,USD,RV,1.0,82630.23,2019-08-22,Pre-Payment,199635635.0,1
