key_0,business_code,cust_number,name_customer,Predicted_payment_date,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Delay,delay_bucket
151,U005,20021593,Horizon Holdings,2019-10-22,2019.0,199531179.0,2019-03-05,2019-02-03,2020-02-24,2020-03-25,CAD,RV,1.0,728722.63,2020-03-04,Tiered,199531179.0,0,-155,no delay
155,U013,20046401,Stellar Supplies LLC,2019-11-13,2019.0,191734868.0,2019-04-23,2019-07-09,2019-08-18,2020-05-14,USD,RV,1.0,39487.66,2019-09-24,Maintenance,191734868.0,0,-183,no delay
159,U013,20078055,Pinnacle Manufacturing,2019-03-30,2020.0,192310056.0,2019-03-11,2019-11-06,2019-04-20,2019-01-30,CAD,RV,1.0,58672.79,2020-03-31,Immediate,192310056.0,1,59,45 to 60 days of delay
163,U001,20039859,Velocity Solutions,2019-11-18,2020.0,198503518.0,2019-03-09,2019-03-08,2019-05-23,2019-07-08,USD,RV,1.0,5736.2,2019-03-08,Co-Pay,198503518.0,0,133,more than 100 days of delay
167,U001,20013668,Echelon Industries,2019-08-16,2019.0,190267867.0,2019-10-19,2019-04-11,2019-06-08,2020-02-25,CAD,RV,1.0,760115.8,2019-04-28,Deductible,190267867.0,1,-193,no delay
171,U001,20036022,Fusion Enterprises,2019-04-01,2019.0,190420382.0,2019-11-21,2019-06-11,2020-04-09,2020-01-04,CAD,RV,1.0,905854.16,2020-02-22,Cash,190420382.0,0,-278,no delay
175,U005,20024411,Fusion Enterprises,2019-05-14,2019.0,199169040.0,2019-08-08,2019-07-20,2020-01-20,2020-03-08,USD,RV,1.0,928255.85,2019-04-02,PPD,199169040.0,0,-299,no delay
179,CA02,20041130,Acme Industries,2019-10-04,2020.0,190437227.0,2020-03-11,2019-01-30,2020-02-23,2019-10-16,USD,RV,1.0,4136.54,2019-05-20,Pro-Rata,190437227.0,0,-12,no delay
183,CA02,20073210,MetroTech Solutions,2019-05-01,2019.0,197833220.0,2020-01-23,2019-06-23,2019-12-30,2019-08-29,USD,RV,1.0,433400.05,2019-07-25,PIA,197833220.0,0,-120,no delay
187,U002,20026752,Skyline Innovations,2019-10-05,2020.0,196504203.0,2019-04-25,2020-01-08,2019-03-09,2020-03-16,USD,RV,1.0,29327.99,2020-04-06,CIA,196504203.0,1,-163,no delay
191,U002,20090193,Synergy Corporations,2020-05-16,2019.0,191820523.0,2019-09-01,2019-07-25,2020-03-03,2019-10-12,USD,RV,1.0,7612.54,2019-12-15,Net 15,191820523.0,0,217,more than 100 days of delay
195,CA02,20017431,ProTech Partners,2019-10-13,2019.0,193896613.0,2019-07-11,2019-04-30,2019-08-30,2019-09-26,USD,RV,1.0,98716.27,2019-04-16,In Advance,193896613.0,1,17,15 to 30 days of delay
199,U013,20042976,Ascend Industries,2019-08-05,2019.0,197084136.0,2019-09-25,2019-08-12,2020-05-13,2019-04-12,CAD,RV,1.0,764800.05,2019-03-06,Yearly,197084136.0,0,115,more than 100 days of delay
203,U013,20033137,MetroTech Solutions,2019-08-20,2020.0,195057699.0,2019-09-09,2020-02-05,2019-05-24,2020-02-16,USD,RV,1.0,724401.11,2019-12-18,45 EOM,195057699.0,1,-180,no delay
207,U001,20060508,Echelon Industries,2020-01-15,2019.0,199665436.0,2019-09-28,2019-09-03,2019-06-07,2019-11-08,CAD,RV,1.0,48916.4,2019-01-28,COD,199665436.0,0,68,60 to 100 days of delay
211,U007,20033692,NextWave Technologies,2019-06-27,2020.0,194000351.0,2019-07-03,2019-05-10,2019-11-23,2020-03-08,USD,RV,1.0,84316.04,2019-05-20,PID,194000351.0,0,-255,no delay
215,CA02,20029516,Apex Enterprises,2019-08-02,2019.0,195303463.0,2019-05-22,2020-01-02,2019-02-06,2019-07-09,CAD,RV,1.0,7414.57,2020-03-04,"2/20, Net 60",195303463.0,0,24,15 to 30 days of delay
219,U002,20061601,Acme Industries,2019-06-25,2019.0,194534616.0,2019-09-13,2020-05-03,2019-10-16,2019-03-11,CAD,RV,1.0,3665.56,2019-02-23,Maintenance,194534616.0,0,106,more than 100 days of delay
223,U013,20033606,Elite Systems Group,2019-06-26,2020.0,196554595.0,2019-08-14,2019-10-15,2019-07-28,2020-01-24,CAD,RV,1.0,56780.15,2019-07-06,Net 75,196554595.0,1,-212,no delay
227,U013,20083871,Horizon Holdings,2020-01-21,2019.0,190457998.0,2019-11-04,2019-10-01,2019-05-27,2019-10-16,CAD,RV,1.0,865197.85,2019-05-28,In Advance,190457998.0,0,97,60 to 100 days of delay
231,U013,20082812,Titanium Technologies,2019-08-01,2020.0,199698215.0,2019-04-01,2019-07-05,2019-09-21,2019-03-09,CAD,RV,1.0,63965.59,2019-11-04,Lump Sum,199698215.0,0,145,more than 100 days of delay
235,U001,20002663,OmniTech Solutions,2019-08-30,2019.0,196027049.0,2019-04-25,2019-10-28,2019-12-26,2019-04-29,USD,RV,1.0,941908.72,2019-09-23,Co-Pay,196027049.0,1,123,more than 100 days of delay
239,U007,20025676,Global Ventures,2019-10-16,2020.0,196619112.0,2020-02-15,2019-02-03,2019-04-23,2020-02-26,CAD,RV,1.0,6153.55,2019-02-18,PIB,196619112.0,0,-133,no delay
243,U013,20098205,MetroTech Solutions,2019-12-31,2020.0,194612441.0,2020-01-31,2020-02-24,2020-03-06,2019-10-26,USD,RV,1.0,49953.81,2019-12-11,"2/20, Net 60",194612441.0,0,66,60 to 100 days of delay
247,U001,20070438,Velocity Solutions,2019-12-07,2020.0,199886983.0,2019-06-14,2019-07-04,2019-03-14,2019-11-07,CAD,RV,1.0,328768.91,2019-07-16,N30,199886983.0,1,30,30 to 45 days of delay
251,CA02,20090227,Vanguard Ventures,2019-03-04,2020.0,191946450.0,2019-03-15,2020-02-29,2019-07-18,2019-03-06,USD,RV,1.0,295905.1,2019-06-25,Net 7,191946450.0,0,-2,no delay
255,U001,20083862,Summit Technologies,2019-10-19,2020.0,196996505.0,2019-06-26,2019-06-17,2019-03-25,2019-08-18,CAD,RV,1.0,94821.4,2020-01-02,Monthly,196996505.0,0,62,60 to 100 days of delay
259,U013,20055934,Enterprise Innovations,2019-09-27,2020.0,192800959.0,2019-02-09,2019-02-04,2020-04-20,2019-09-05,CAD,RV,1.0,74005.77,2019-03-22,Prescription,192800959.0,1,22,15 to 30 days of delay
263,U007,20054766,Nexus Networks,2019-07-12,2019.0,198425497.0,2019-05-27,2019-12-11,2019-12-24,2019-01-28,USD,RV,1.0,805108.57,2020-02-29,Weekly,198425497.0,1,165,more than 100 days of delay
267,U013,20007149,Spectrum Technologies,2019-10-04,2019.0,190610193.0,2019-06-21,2019-07-20,2019-04-01,2019-08-22,CAD,RV,1.0,724950.46,2019-12-24,Due Upon Receipt,190610193.0,0,43,30 to 45 days of delay
271,U002,20090431,Peak Technologies,2020-01-17,2020.0,198353621.0,2020-03-11,2020-05-15,2019-10-21,2019-11-12,USD,RV,1.0,967640.63,2020-02-10,90 EOM,198353621.0,0,66,60 to 100 days of delay
275,CA02,20048245,Stellar Supplies LLC,2019-07-07,2020.0,198294588.0,2019-08-20,2019-01-13,2019-05-07,2019-03-23,CAD,RV,1.0,3434.61,2019-04-11,Co-Pay,198294588.0,1,106,more than 100 days of delay
279,U007,20012602,NextGen Solutions,2019-06-10,2019.0,199723386.0,2019-03-05,2020-04-21,2019-03-26,2019-02-06,CAD,RV,1.0,7334.45,2019-11-13,EOM,199723386.0,1,124,more than 100 days of delay
283,U007,20012443,Peak Technologies,2019-11-20,2020.0,194598911.0,2019-03-13,2020-01-25,2019-04-22,2019-10-05,USD,RV,1.0,4269.71,2020-02-27,Cash,194598911.0,1,46,45 to 60 days of delay
287,U001,20017645,Enterprise Innovations,2019-09-28,2020.0,192901919.0,2019-04-16,2019-07-11,2019-05-31,2020-03-06,CAD,RV,1.0,43749.24,2019-12-23,1/60 Prox,192901919.0,0,-160,no delay
291,U002,20004338,Nexus Networks,2019-07-04,2019.0,194397389.0,2020-04-18,2020-02-17,2019-08-18,2019-04-13,CAD,RV,1.0,989284.87,2019-09-10,45 Prox,194397389.0,0,82,60 to 100 days of delay
295,CA02,20038448,Cortex Innovations,2019-12-13,2020.0,194975529.0,2019-12-29,2019-02-25,2019-09-28,2020-04-10,CAD,RV,1.0,3801.7,2019-04-11,Lump Sum,194975529.0,0,-119,no delay
299,U007,20095174,Optimum Tech Partners,2019-03-30,2019.0,190589329.0,2019-03-11,2019-02-06,2019-03-24,2019-05-02,CAD,RV,1.0,9887.4,2019-09-02,"2/15, Net 45",190589329.0,0,-33,no delay
303,U007,20087172,Titanium Technologies,2019-10-21,2020.0,191171455.0,2019-09-03,2020-01-11,2019-09-29,2019-05-17,CAD,RV,1.0,9932.06,2019-07-07,Post-Payment,191171455.0,0,157,more than 100 days of delay
307,CA02,20056564,Prime Innovations,2019-02-14,2019.0,193518775.0,2019-09-02,2019-07-29,2019-05-10,2019-01-25,CAD,RV,1.0,93976.13,2019-07-18,Net 7,193518775.0,0,20,15 to 30 days of delay
311,CA02,20028022,Spectrum Technologies,2019-08-08,2019.0,199817991.0,2019-08-27,2019-12-24,2019-04-04,2019-04-07,CAD,RV,1.0,81787.53,2019-12-18,Out-of-Pocket,199817991.0,0,123,more than 100 days of delay
315,U002,20090694,Fortune Solutions,2019-11-21,2020.0,196500639.0,2020-04-24,2019-03-15,2019-10-28,2019-09-18,CAD,RV,1.0,2191.47,2019-07-27,Bi-Weekly,196500639.0,1,64,60 to 100 days of delay
319,U007,20039473,Vertex Solutions Inc.,2019-03-18,2019.0,190340412.0,2020-04-25,2020-01-13,2019-08-20,2019-03-28,USD,RV,1.0,3034.58,2019-05-26,Disposable,190340412.0,0,-10,no delay
323,CA02,20098790,Apex Enterprises,2019-05-10,2020.0,194397138.0,2019-08-04,2019-05-30,2019-04-09,2019-07-12,USD,RV,1.0,652536.99,2019-05-20,1/15 EOM,194397138.0,0,-63,no delay
327,CA02,20074731,Vanguard Ventures,2019-10-11,2020.0,194646945.0,2020-03-18,2020-01-27,2019-01-15,2019-10-03,CAD,RV,1.0,35358.07,2019-05-30,Due Upon Receipt,194646945.0,0,8,0 to 15 days of delay
331,U002,20096746,Pinnacle Manufacturing,2020-01-08,2020.0,195882562.0,2020-03-05,2019-04-03,2019-09-11,2019-11-19,CAD,RV,1.0,1128.81,2019-11-04,Hybrid,195882562.0,0,50,45 to 60 days of delay
335,CA02,20014235,Infinity Holdings,2019-05-22,2019.0,195082736.0,2019-07-02,2019-05-10,2019-10-21,2019-06-12,CAD,RV,1.0,683337.3,2019-08-17,"2/10, Net 30",195082736.0,0,-21,no delay
339,U005,20073360,Advanced Enterprises,2019-07-12,2019.0,197186295.0,2019-08-29,2019-03-20,2019-05-14,2019-03-26,USD,RV,1.0,8929.09,2019-12-02,Consumables,197186295.0,0,108,more than 100 days of delay
343,U005,20042671,Enterprise Innovations,2019-07-27,2020.0,196367723.0,2019-11-16,2019-05-11,2020-02-26,2020-01-05,USD,RV,1.0,9948.96,2019-04-09,Monthly,196367723.0,1,-162,no delay
347,CA02,20066932,Cortex Innovations,2020-01-13,2019.0,199561460.0,2020-04-08,2019-08-02,2019-01-20,2019-12-31,CAD,RV,1.0,561201.68,2019-11-03,Net 15,199561460.0,1,13,0 to 15 days of delay
351,CA02,20019751,Alliance Enterprises,2019-07-12,2019.0,193700576.0,2019-02-08,2019-05-17,2020-03-29,2019-07-21,USD,RV,1.0,439120.97,2020-05-13,Net 75,193700576.0,0,-9,no delay
355,U002,20031007,Summit Technologies,2019-12-15,2020.0,195804584.0,2020-03-05,2019-11-16,2020-03-15,2019-10-20,USD,RV,1.0,9611.25,2019-12-18,"2/15, Net 45",195804584.0,0,56,45 to 60 days of delay
359,U007,20005859,Innovatech Solutions,2019-03-26,2020.0,191454164.0,2020-01-06,2019-01-28,2019-07-06,2019-05-23,USD,RV,1.0,514905.67,2019-03-27,1/15 EOM,191454164.0,0,-58,no delay
363,U001,20017187,OmniTech Solutions,2019-06-02,2020.0,193641364.0,2019-08-01,2019-12-01,2019-12-16,2019-03-09,CAD,RV,1.0,63232.15,2019-10-17,N60,193641364.0,1,85,60 to 100 days of delay
367,U005,20025232,Pioneer Industries,2019-12-10,2019.0,191217547.0,2019-02-04,2019-10-04,2019-08-06,2019-10-10,CAD,RV,1.0,3606.48,2019-08-08,Rental,191217547.0,1,61,60 to 100 days of delay
371,U013,20057359,BlueWave Enterprises,2019-03-07,2020.0,197348505.0,2019-11-06,2020-04-28,2019-07-12,2019-01-16,CAD,RV,1.0,325072.39,2019-03-13,Net 7,197348505.0,0,50,45 to 60 days of delay
375,U005,20075724,Peak Technologies,2019-05-23,2020.0,198501167.0,2019-10-14,2020-04-09,2019-06-23,2020-01-11,CAD,RV,1.0,888906.86,2019-02-18,1/10 Prox,198501167.0,1,-233,no delay
379,U013,20029372,Zenith Industries,2019-03-29,2019.0,197779833.0,2019-01-31,2020-01-25,2019-02-03,2019-04-06,CAD,RV,1.0,987784.54,2019-05-14,Pre-Payment,197779833.0,0,-8,no delay
383,U007,20093775,Ultimate Solutions,2019-08-10,2019.0,198588347.0,2020-01-25,2019-09-15,2020-01-19,2019-06-14,USD,RV,1.0,38212.86,2019-04-09,Net 15,198588347.0,0,57,45 to 60 days of delay
387,U002,20062703,Ascend Industries,2020-02-06,2019.0,196753687.0,2019-03-13,2019-02-14,2019-08-11,2020-04-24,CAD,RV,1.0,6850.59,2019-11-03,Monthly,196753687.0,0,-78,no delay
391,U002,20012641,Pinnacle Manufacturing,2020-01-01,2019.0,197873842.0,2019-03-07,2019-05-11,2019-03-07,2019-10-15,USD,RV,1.0,710588.97,2019-12-15,Bi-Weekly,197873842.0,0,78,60 to 100 days of delay
395,U007,20072903,Alliance Enterprises,2019-12-25,2020.0,193592210.0,2019-11-22,2019-05-31,2019-01-21,2019-09-29,CAD,RV,1.0,4562.05,2019-02-19,Royalty,193592210.0,0,87,60 to 100 days of delay
399,U001,20040715,Velocity Solutions,2020-02-26,2020.0,195166745.0,2019-03-29,2019-12-25,2019-05-09,2019-12-04,USD,RV,1.0,53262.92,2020-05-13,Net 75,195166745.0,1,84,60 to 100 days of delay
403,U005,20055446,Quantum Enterprises,2019-10-14,2019.0,194528867.0,2020-02-20,2019-10-21,2019-10-14,2019-09-03,USD,RV,1.0,87548.66,2020-02-19,1/30 EOM,194528867.0,0,41,30 to 45 days of delay
407,U001,20003277,Synergy Corporations,2019-09-12,2019.0,199461260.0,2019-08-13,2020-04-23,2019-01-11,2019-08-25,USD,RV,1.0,6755.86,2019-08-03,Disposable,199461260.0,1,18,15 to 30 days of delay
411,U002,20022990,InnovaTech Group,2019-09-21,2020.0,193981820.0,2019-12-21,2019-03-02,2019-08-14,2019-01-30,USD,RV,1.0,360466.17,2020-04-18,1/10 EOM,193981820.0,1,234,more than 100 days of delay
415,CA02,20021046,ProTech Partners,2019-06-15,2020.0,191667546.0,2019-05-25,2019-01-13,2019-06-04,2020-01-13,CAD,RV,1.0,875442.77,2019-08-09,1/30 EOM,191667546.0,1,-212,no delay
419,U007,20083750,Fusion Enterprises,2020-01-28,2020.0,197459470.0,2020-05-08,2020-03-15,2019-08-19,2019-12-14,USD,RV,1.0,3875.47,2019-10-05,60 Prox,197459470.0,0,45,45 to 60 days of delay
423,U005,20072800,Fusion Enterprises,2020-02-25,2020.0,199865099.0,2020-02-29,2020-04-21,2019-05-18,2019-11-20,CAD,RV,1.0,6085.41,2019-06-30,Weekly,199865099.0,0,97,60 to 100 days of delay
427,U007,20059565,Skyline Innovations,2019-03-10,2020.0,193158566.0,2019-07-24,2019-10-07,2020-03-27,2019-02-07,CAD,RV,1.0,140365.55,2019-11-23,COD,193158566.0,1,31,30 to 45 days of delay
431,U007,20078774,Vanguard Ventures,2019-04-14,2019.0,196114316.0,2019-08-20,2019-12-11,2020-01-15,2019-03-03,USD,RV,1.0,923170.2,2020-03-23,Royalty,196114316.0,1,42,30 to 45 days of delay
435,U013,20076900,Crest Business Services,2019-08-29,2020.0,190870707.0,2020-04-29,2020-01-15,2019-10-14,2020-01-21,CAD,RV,1.0,382721.39,2020-03-20,Hybrid,190870707.0,0,-145,no delay
439,U002,20069760,Fortune Solutions,2019-08-18,2020.0,198528988.0,2019-12-31,2019-03-27,2019-07-08,2019-06-05,USD,RV,1.0,84576.71,2019-02-11,PIB,198528988.0,0,74,60 to 100 days of delay
443,U007,20024226,Fusion Enterprises,2019-05-28,2020.0,191640009.0,2019-04-13,2019-09-14,2020-04-20,2019-05-21,CAD,RV,1.0,1363.36,2019-09-30,Licencing,191640009.0,1,7,0 to 15 days of delay
447,U005,20048543,Pioneer Industries,2020-03-22,2019.0,193230364.0,2019-11-04,2019-06-19,2019-12-12,2019-10-17,CAD,RV,1.0,465580.13,2020-04-08,90 EOM,193230364.0,0,157,more than 100 days of delay
451,CA02,20038203,Synergy Innovations,2019-01-19,2019.0,195389025.0,2020-04-25,2019-10-24,2019-04-06,2019-05-07,USD,RV,1.0,791255.16,2019-10-31,PIB,195389025.0,1,-108,no delay
455,U005,20001592,Elite Systems Group,2019-07-24,2020.0,196013146.0,2019-11-16,2020-04-19,2019-12-16,2019-06-07,USD,RV,1.0,5132.47,2019-12-29,N60,196013146.0,0,47,45 to 60 days of delay
459,U013,20017679,NextWave Technologies,2019-12-24,2020.0,194624607.0,2019-07-06,2019-09-24,2019-02-14,2020-05-18,USD,RV,1.0,40901.83,2020-03-06,Net 45,194624607.0,1,-146,no delay
463,U013,20029233,Quantum Dynamics,2020-04-09,2020.0,198456109.0,2019-09-26,2019-07-22,2020-03-20,2019-11-05,USD,RV,1.0,2454.62,2019-03-27,"2/15, Net 45",198456109.0,1,156,more than 100 days of delay
467,U007,20053104,Unified Ventures,2019-11-22,2019.0,198256524.0,2020-01-26,2020-02-17,2020-02-19,2019-12-10,USD,RV,1.0,4259.06,2019-02-25,Weekly,198256524.0,0,-18,no delay
471,CA02,20042360,NextWave Technologies,2019-08-15,2019.0,199201440.0,2020-03-15,2020-03-23,2019-08-23,2020-02-19,USD,RV,1.0,828387.59,2019-08-07,60 Prox,199201440.0,1,-188,no delay
475,CA02,20062881,Zenith Industries,2019-09-05,2019.0,193661767.0,2019-09-12,2019-05-26,2019-03-01,2020-02-27,CAD,RV,1.0,76572.53,2020-03-16,1/10 Prox,193661767.0,1,-175,no delay
479,U002,20020116,Velocity Solutions,2019-10-02,2020.0,195471101.0,2019-12-18,2020-01-14,2019-04-30,2020-03-09,CAD,RV,1.0,36399.41,2019-05-04,Escrow,195471101.0,0,-159,no delay
483,U002,20081922,Global Nexus,2019-10-03,2019.0,195028259.0,2020-02-03,2019-07-10,2020-01-10,2019-06-09,CAD,RV,1.0,1204.79,2020-01-14,Monthly,195028259.0,0,116,more than 100 days of delay
487,U013,20022904,Synergy Innovations,2020-01-18,2020.0,192296518.0,2019-07-12,2020-03-30,2020-05-17,2020-04-11,CAD,RV,1.0,904738.85,2020-03-02,45 EOM,192296518.0,0,-84,no delay
491,CA02,20043365,Global Ventures,2019-08-24,2019.0,197515785.0,2019-06-12,2019-01-13,2019-04-27,2019-10-04,CAD,RV,1.0,21451.31,2019-11-20,1/10 Prox,197515785.0,0,-41,no delay
